Hero,Presence,Win Rate,KDA Ratio,GPM,XPM,Roles
Venomancer,0.0582,0.46990000000000004,2.47,442.0,519.0,7
Tiny,0.0555,0.435,2.45,333.0,454.0,7
Dark Willow,0.053200000000000004,0.5057,2.55,321.0,430.0,7
Shadow Shaman,0.0506,0.5112,1.85,318.0,395.0,7
Clockwerk,0.050499999999999996,0.5045000000000001,2.53,312.0,409.0,7
Skywrath Mage,0.050199999999999995,0.48009999999999997,2.33,322.0,421.0,7
Io,0.05,0.2949,1.25,255.0,307.0,7
Anti-Mage,0.0,0.4964299193826755,2.903581611446016,489.83620946888976,574.7537368138552,7
Axe,0.0,0.5060719581244879,2.519226108340374,413.6227925340736,510.11431182432466,7
Bane,0.0,0.4949076629217082,2.3386219757424453,324.6166533445441,438.13711497016305,7
Bloodseeker,0.0,0.5139376689048891,2.7725395772383696,415.98117567704793,507.58991433206234,7
Crystal Maiden,0.0,0.5166270267792988,2.4548055072646346,375.5268883149968,459.895651787464,7
Drow Ranger,0.0,0.5223446909728927,2.710324571055215,440.16231438363997,519.0483132683016,7
Juggernaut,0.0,0.499467200404564,2.9028052851024,471.9333330309902,552.4647912176512,7
Shadow Fiend,0.0,0.49830337551409914,2.6556599086277215,410.7540616709533,513.3463174691063,7
Morphling,0.0,0.5048949179888382,2.769333748347287,436.14675260480124,524.7884110691093,7
Phantom Lancer,0.0,0.5006737385504376,2.786595185506642,444.2853226712723,530.0519442552967,7
Puck,0.0,0.4891797744557766,2.87327999419145,432.8729693753535,533.1511866338219,7
Razor,0.0,0.49469591329428286,2.60166196560717,406.56782536214575,496.589527025804,7
Sand King,0.0,0.4987874382815375,2.7895839567634426,422.29953068603174,517.1635728917151,7
Storm Spirit,0.0,0.49690467078860273,2.942149887340008,438.68710016479906,542.7023335546808,7
Sven,0.0,0.511678046748126,2.8797997118987206,464.1729246382635,547.6633377880665,7
Vengeful Spirit,0.0,0.5074636851012566,2.700517604787841,409.7478438495724,507.0218661888683,7
Windranger,0.0,0.495893978759462,2.6286356684634895,402.9395422719186,496.4241044745957,7
Zeus,0.0,0.5214728694446843,3.303336328366246,448.16285449553015,543.9632560260627,7
Kunkka,0.0,0.5122405932655033,2.8498560954527674,394.4150639063574,483.51430200205385,7
Lina,0.0,0.47996766110070926,2.553519545539561,407.36690796211,497.0485131985144,7
Lich,0.0,0.5070903900527892,2.7822184638126757,419.10935610862725,514.4876403182545,7
Lion,0.0,0.49895117125582733,2.774708855670031,443.39916739155615,535.4577741344687,7
Slardar,0.0,0.508346135476014,2.656247888614601,405.4478070587264,508.56863687736274,7
Tidehunter,0.0,0.5048667323544007,2.8120514024613366,409.62659180574053,507.8453765817026,7
Witch Doctor,0.0,0.4897204750514716,2.343853409190622,375.87686760154423,470.1437333845261,7
Tinker,0.0,0.4984525567999029,2.9553467001448337,437.3760630399844,537.0969893297273,7
Sniper,0.0,0.5029483664884579,2.7270168453341173,391.42544700058795,478.93059634450316,7
Necrophos,0.0,0.5106186710265609,2.630246137767425,411.56653684560166,498.23034219497305,7
Warlock,0.0,0.5137159779313593,2.7269720016460357,381.98392078549034,473.96156495741707,7
Beastmaster,0.0,0.4977495374531437,2.5136162651612723,401.5820485434218,495.14411236098766,7
Queen of Pain,0.0,0.4938985180432071,2.695641126601189,426.17939237113313,518.1717988856717,7
Faceless Void,0.0,0.4988244337979858,2.851239658311252,429.8236383885408,522.5413357513455,7
Wraith King,0.0,0.5063758864264732,2.9659319186199467,440.9621323912408,533.1500396664574,7
Death Prophet,0.0,0.5066284633545491,2.5982390926893224,394.75151812664046,486.1679309950309,7
Phantom Assassin,0.0,0.5009647889069584,2.7807806330664357,436.40784156767194,528.7006570809133,7
Pugna,0.0,0.5024606145594142,2.7957102193388104,427.27953050336265,515.6402267629816,7
Templar Assassin,0.0,0.49670774110299215,2.88567282020513,447.5829735251813,552.3908839357142,7
Viper,0.0,0.5028522938399321,2.8775358097724184,433.92946512514146,535.7142221216861,7
Luna,0.0,0.5188113046241647,3.0295486179046764,478.6057268916696,555.1763417671381,7
Dragon Knight,0.0,0.510976844349244,2.870060920109283,427.00844111763394,517.4425041031925,7
Dazzle,0.0,0.5104306098764211,2.5332442130943456,343.2761175943809,440.8939605261692,7
Leshrac,0.0,0.5090954192847231,2.63475854975296,393.9102004918656,487.2343511087059,7
Lifestealer,0.0,0.49994866614014016,2.7289105147032044,444.7637746607729,528.2778806718385,7
Dark Seer,0.0,0.5066928527186162,2.847418605171996,411.2442382534251,495.5934143462341,7
